Income,Gender,Age,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,What is your marital status?,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",Do you believe in ghosts?,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be wise and unhappy, or unwise and happy?"
64000,Male,28,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,5,Somewhat Agree,Strongly Agree,2,Yes,Too Low,TRUE,Wise and Unhappy
166000,Male,28,Independent,Somewhat Approve,Some college,DK/REF,Unlikely,Real but not Caused by People,3,Strongly Disagree,Strongly Agree,5,No,About Right,FALSE,Wise and Unhappy
102000,Male,49,Republican,Somewhat Approve,High school,Married,Unlikely,Not Real At All,3,Somewhat Disagree,Somewhat Disagree,1,Yes,Too High,FALSE,Unwise and happy
86000,Male,69,Democrat,Strongly disapprove,Some college,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,Too Low,FALSE,DK/REF
74000,Male,38,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Agree,4,Yes,Too Low,TRUE,DK/REF
146000,Female,46,Independent,Strongly disapprove,Graduate degree,Married,Likely,Real and Caused by People,2,Somewhat Disagree,Somewhat Disagree,5,Yes,Too High,FALSE,Unwise and happy
,Female,49,Democrat,Strongly disapprove,High school,Widowed,Likely,Real but not Caused by People,4,Strongly Agree,Strongly Agree,10,Yes,Too Low,FALSE,Wise and Unhappy
74000,Female,45,Republican,Somewhat Approve,Graduate degree,Married,Unlikely,Real but not Caused by People,1,Strongly Agree,Somewhat Agree,26,No,Too High,TRUE,Wise and Unhappy
,Female,27,Independent,Neither approve nor disapprove,College degree,Single,Unlikely,Real and Caused by People,4,Somewhat Disagree,Somewhat Agree,30,No,About Right,FALSE,Wise and Unhappy
,Female,41,DK/REF,DK/REF,Graduate degree,Divorced,DK/REF,Real and Caused by People,2,Somewhat Agree,Strongly Agree,20,Yes,About Right,TRUE,Wise and Unhappy
,Female,24,Democrat,DK/REF,College degree,Single,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,20,Yes,Too Low,TRUE,Wise and Unhappy
,Male,32,Democrat,Strongly disapprove,College degree,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,3,No,Too Low,FALSE,Wise and Unhappy
,Male,54,DK/REF,Somewhat disapprove,High school,Divorced,Likely,Real but not Caused by People,0,Strongly Agree,DK/REF,400,No,Too High,TRUE,Wise and Unhappy
,Male,51,Democrat,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,Too Low,TRUE,Wise and Unhappy
,Female,44,Republican,Somewhat Approve,Some college,Married,Unlikely,Real and Caused by People,,Strongly Agree,Strongly Agree,10,No,Too Low,FALSE,Wise and Unhappy
,Female,45,DK/REF,Strongly disapprove,College degree,Divorced,Likely,Real but not Caused by People,,Strongly Agree,Neither Agree nor Disagree,10,Yes,DK/REF,TRUE,DK/REF
,Female,49,Democrat,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,25,No,Too Low,FALSE,Wise and Unhappy
,Female,18,DK/REF,Strongly disapprove,High school,Single,Unlikely,Real and Caused by People,0,Somewhat Disagree,Somewhat Agree,40,No,About Right,FALSE,Unwise and happy
,Female,30,Independent,Strongly disapprove,Some college,Married,Likely,Real but not Caused by People,3,Strongly Agree,Somewhat Disagree,5,Yes,Too High,FALSE,Wise and Unhappy
,Female,29,Independent,Strongly disapprove,College degree,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,2,No,Too Low,TRUE,Wise and Unhappy
,Female,21,Republican,Strongly Approve,Some college,Single,Unlikely,Real but not Caused by People,3,Somewhat Disagree,Strongly Agree,5,No,About Right,TRUE,Unwise and happy
,Male,75,Independent,Strongly Approve,College degree,Divorced,Likely,Real but not Caused by People,3,Somewhat Agree,Somewhat Agree,4,Yes,Too Low,TRUE,Wise and Unhappy
,Female,50,Democrat,Strongly disapprove,Some college,In a relationship,Unlikely,Real and Caused by People,1,Strongly Disagree,Somewhat Disagree,2,Yes,Too Low,DK/REF,Unwise and happy
36000,Female,87,DK/REF,Somewhat Approve,Some college,Widowed,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,20,No,DK/REF,FALSE,Wise and Unhappy
,Male,72,Democrat,Strongly disapprove,College degree,Widowed,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,12,DK/REF,Too Low,FALSE,Wise and Unhappy
,Female,54,Independent,Neither approve nor disapprove,College degree,Widowed,Unlikely,Real and Caused by People,,Somewhat Agree,Strongly Agree,100,Yes,Too Low,FALSE,Wise and Unhappy
,Female,18,Democrat,Somewhat disapprove,College degree,Single,Unlikely,Real and Caused by People,2,Somewhat Agree,Somewhat Agree,30,No,Too High,TRUE,Wise and Unhappy
,Male,41,DK/REF,Strongly disapprove,Some college,Single,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,2,DK/REF,Too Low,DK/REF,Wise and Unhappy
,Male,21,Independent,DK/REF,Some college,In a relationship,Likely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,2,No,About Right,FALSE,Unwise and happy
,Male,70,Democrat,Somewhat Approve,Some college,Widowed,Unlikely,Real but not Caused by People,1,Strongly Disagree,Somewhat Agree,0,No,DK/REF,FALSE,Unwise and happy
,Female,22,Independent,Strongly disapprove,College degree,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,Too Low,DK/REF,Wise and Unhappy
,Female,97,Independent,Somewhat Approve,College degree,Widowed,Unlikely,DK/REF,,Somewhat Disagree,DK/REF,5,No,DK/REF,TRUE,DK/REF
,Female,35,DK/REF,DK/REF,College degree,Single,Likely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,7,No,About Right,FALSE,Unwise and happy
,Female,40,Democrat,Strongly disapprove,Some college,Married,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,0,Yes,About Right,FALSE,Wise and Unhappy
,Male,28,Independent,Somewhat Approve,Some college,In a relationship,Unlikely,Real and Caused by People,5,Somewhat Agree,Somewhat Agree,30,No,About Right,TRUE,Unwise and happy
,Male,50,DK/REF,DK/REF,College degree,Single,Unlikely,Real and Caused by People,3,Strongly Disagree,DK/REF,7,No,Too High,DK/REF,Wise and Unhappy
,Male,29,DK/REF,Neither approve nor disapprove,Some college,Single,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,3,No,Too Low,FALSE,Wise and Unhappy
,Male,27,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,3,No,Too Low,FALSE,Wise and Unhappy
106000,Male,50,Independent,DK/REF,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,4,DK/REF,Too Low,TRUE,Unwise and happy
,Male,20,Democrat,Strongly disapprove,Some college,Single,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Agree,7,No,Too Low,TRUE,Wise and Unhappy
,Male,34,Democrat,Somewhat disapprove,Some college,In a relationship,Unlikely,Real and Caused by People,3,Somewhat Disagree,Strongly Agree,60,Yes,About Right,FALSE,Unwise and happy
,Other,34,Independent,Somewhat Approve,College degree,DK/REF,Likely,Real but not Caused by People,2,Somewhat Agree,Strongly Agree,18,No,Too High,FALSE,Wise and Unhappy
,Male,34,Democrat,Strongly Approve,High school,Single,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,1,Yes,Too Low,FALSE,Wise and Unhappy
,Male,33,DK/REF,Neither approve nor disapprove,Graduate degree,Single,Unlikely,DK/REF,3,Somewhat Disagree,Neither Agree nor Disagree,4,No,Too Low,DK/REF,Unwise and happy
,Female,36,DK/REF,DK/REF,College degree,Married,Unlikely,DK/REF,2,Strongly Agree,Somewhat Agree,50,Yes,About Right,TRUE,Wise and Unhappy
,Male,74,DK/REF,Strongly Approve,High school,Married,Unlikely,Real but not Caused by People,,Somewhat Agree,Strongly Agree,,No,Too High,DK/REF,Unwise and happy
,Other,21,DK/REF,Strongly Approve,Other,Single,Likely,Real and Caused by People,3,Strongly Disagree,Somewhat Disagree,,No,Too High,FALSE,Unwise and happy
,Male,29,Republican,Somewhat disapprove,College degree,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,0,Yes,Too Low,TRUE,Unwise and happy
,Female,37,Independent,Strongly Approve,High school,Married,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Strongly Disagree,0,No,Too High,FALSE,Unwise and happy
,Female,79,Independent,Somewhat disapprove,High school,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,35,No,DK/REF,FALSE,DK/REF
,Male,23,Independent,Strongly disapprove,Graduate degree,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,5,No,Too Low,TRUE,Unwise and happy
,Male,77,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,10,Yes,Too Low,FALSE,Wise and Unhappy
,Male,36,Republican,Strongly Approve,Some college,Married,Unlikely,Real but not Caused by People,4,Strongly Agree,Strongly Agree,10,No,About Right,FALSE,DK/REF
,Male,69,Republican,Strongly Approve,Some college,Married,Unlikely,Not Real At All,0,Strongly Disagree,DK/REF,3,DK/REF,About Right,TRUE,Unwise and happy
,Female,20,Democrat,Strongly disapprove,High school,Single,Likely,Real and Caused by People,4,Strongly Agree,Strongly Agree,100,No,Too Low,FALSE,Wise and Unhappy
,Male,34,Independent,Strongly disapprove,Some college,Married,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,0,No,Too Low,TRUE,Unwise and happy
,Male,23,Independent,Neither approve nor disapprove,Some college,Single,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,9,No,About Right,FALSE,Unwise and happy
,Male,51,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,6,No,About Right,FALSE,Wise and Unhappy
,Female,68,Republican,Strongly Approve,High school,Married,Likely,DK/REF,0,Somewhat Disagree,Somewhat Disagree,4,Yes,Too High,DK/REF,Unwise and happy
,Female,68,Democrat,Strongly disapprove,College degree,Divorced,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,300,No,Too Low,FALSE,Wise and Unhappy
,Female,44,Democrat,Strongly disapprove,High school,Single,Likely,Real and Caused by People,4,Strongly Agree,Somewhat Agree,12,Yes,About Right,TRUE,Unwise and happy
,Female,19,DK/REF,DK/REF,College degree,Single,Likely,DK/REF,0,Strongly Disagree,DK/REF,9,No,DK/REF,FALSE,Unwise and happy
,Male,20,Republican,Somewhat Approve,Some college,Single,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,12,No,Too Low,FALSE,Wise and Unhappy
,Female,31,DK/REF,DK/REF,Some college,In a relationship,Unlikely,Real but not Caused by People,,DK/REF,Strongly Agree,0,Yes,DK/REF,TRUE,DK/REF
,Female,67,Republican,Strongly Approve,Graduate degree,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,150,No,DK/REF,FALSE,Wise and Unhappy
127000,Female,85,DK/REF,Somewhat Approve,DK/REF,Married,DK/REF,DK/REF,0,Somewhat Agree,Somewhat Agree,0,Yes,About Right,TRUE,DK/REF
24000,Female,28,Independent,Somewhat Approve,College degree,Single,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,0,Yes,About Right,TRUE,Unwise and happy
8000,Female,50,Republican,Strongly Approve,High school,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,6,Yes,About Right,TRUE,Unwise and happy
60000,Male,39,Democrat,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,25,No,Too Low,TRUE,Wise and Unhappy
167000,Female,34,Independent,Strongly disapprove,Some college,Married,Unlikely,DK/REF,1,Somewhat Agree,Strongly Agree,36,No,Too Low,TRUE,Unwise and happy
43000,Male,50,Independent,DK/REF,High school,Married,Likely,Real and Caused by People,5,Somewhat Disagree,Strongly Disagree,2,No,DK/REF,TRUE,Unwise and happy
121000,Female,49,Democrat,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,12,Yes,DK/REF,FALSE,Unwise and happy
74000,Female,42,Democrat,Strongly disapprove,Some college,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,3,No,Too Low,TRUE,Wise and Unhappy
101000,Female,42,Democrat,Strongly disapprove,Graduate degree,Married,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,2,Yes,About Right,FALSE,Wise and Unhappy
360000,Female,65,Independent,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,DK/REF,12,DK/REF,Too Low,TRUE,Wise and Unhappy
30000,Female,49,Democrat,Strongly disapprove,College degree,Widowed,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Disagree,50,Yes,Too Low,FALSE,Wise and Unhappy
80000,Male,50,Republican,Somewhat Approve,College degree,Married,Unlikely,Real and Caused by People,5,Somewhat Agree,Strongly Agree,4,No,About Right,FALSE,Unwise and happy
72000,Other,70,Independent,Somewhat Approve,Graduate degree,DK/REF,Unlikely,Not Real At All,0,Strongly Agree,Strongly Disagree,25,Yes,About Right,TRUE,Wise and Unhappy
81000,Female,27,DK/REF,Strongly disapprove,Graduate degree,In a relationship,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,27,Yes,Too Low,FALSE,Unwise and happy
54000,Female,54,Republican,Strongly Approve,Some college,Married,Likely,Real but not Caused by People,0,DK/REF,DK/REF,20,No,DK/REF,DK/REF,Unwise and happy
23000,Male,73,Independent,Somewhat disapprove,High school,Married,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,3,No,Too High,TRUE,Wise and Unhappy
44000,Female,44,DK/REF,DK/REF,Some college,Widowed,Unlikely,Real and Caused by People,4,Somewhat Disagree,Somewhat Agree,6,Yes,Too Low,TRUE,Wise and Unhappy
159000,Female,45,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,18,No,Too Low,FALSE,Wise and Unhappy
163000,Male,45,DK/REF,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,12,No,Too Low,TRUE,Unwise and happy
44000,Female,80,Democrat,Strongly disapprove,High school,Married,Likely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,20,Yes,Too Low,TRUE,Wise and Unhappy
47000,Female,45,Democrat,Strongly disapprove,Other,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,20,Yes,Too Low,DK/REF,Wise and Unhappy
124000,Female,80,Independent,Strongly disapprove,College degree,Widowed,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,No,About Right,TRUE,Wise and Unhappy
97000,Other,32,Independent,Strongly disapprove,High school,Single,Likely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,3,No,DK/REF,TRUE,Unwise and happy
220000,Male,45,Democrat,Strongly disapprove,College degree,In a relationship,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,6,Yes,Too Low,TRUE,Wise and Unhappy
,Female,24,Independent,Strongly disapprove,Some college,In a relationship,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Agree,30,Yes,DK/REF,FALSE,Wise and Unhappy
,Male,54,Republican,Strongly Approve,Graduate degree,Single,Unlikely,Real but not Caused by People,5,Strongly Disagree,Strongly Agree,3,Yes,DK/REF,FALSE,Unwise and happy
,Female,43,Independent,Strongly disapprove,High school,Widowed,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,0,No,Too Low,TRUE,Wise and Unhappy
,Female,43,Democrat,Strongly disapprove,College degree,Single,Unlikely,Real and Caused by People,,Strongly Agree,Somewhat Agree,7,No,About Right,FALSE,Wise and Unhappy
,Female,31,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,5,Strongly Agree,Somewhat Disagree,4,No,Too High,FALSE,Wise and Unhappy
,Male,31,DK/REF,DK/REF,College degree,Married,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,20,No,Too Low,FALSE,DK/REF
,Female,71,Republican,Strongly Approve,College degree,Married,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,10,No,About Right,TRUE,Unwise and happy
,Male,40,Independent,Strongly disapprove,Graduate degree,Married,Unlikely,Real but not Caused by People,4,Somewhat Agree,Strongly Agree,6,No,Too Low,TRUE,Wise and Unhappy
,Male,28,Republican,Neither approve nor disapprove,College degree,Married,Unlikely,Real but not Caused by People,2,Somewhat Agree,Somewhat Agree,1,No,Too Low,FALSE,Unwise and happy
,Male,47,Independent,Somewhat disapprove,High school,Single,Unlikely,Real and Caused by People,1,Neither Agree nor Disagree,Somewhat Disagree,3,No,Too High,TRUE,DK/REF
,Male,22,Democrat,Somewhat Approve,Graduate degree,In a relationship,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,20,No,Too Low,FALSE,Unwise and happy
,Male,71,Democrat,Somewhat disapprove,High school,Single,Likely,Real and Caused by People,2,Somewhat Disagree,Strongly Agree,9,No,Too High,TRUE,Unwise and happy
,Male,77,Republican,DK/REF,Some college,Divorced,Unlikely,DK/REF,1,DK/REF,DK/REF,30,No,Too Low,FALSE,Wise and Unhappy
16000,Female,68,Democrat,DK/REF,College degree,Married,Unlikely,Real and Caused by People,0,DK/REF,DK/REF,2,No,DK/REF,DK/REF,Unwise and happy
,Female,46,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,0,No,About Right,TRUE,Unwise and happy
,Female,25,Democrat,Strongly disapprove,Graduate degree,Single,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,8,Yes,Too Low,FALSE,Unwise and happy
,Female,46,Independent,Strongly disapprove,Graduate degree,Married,Unlikely,DK/REF,3,Somewhat Agree,Strongly Agree,4,Yes,Too Low,TRUE,Unwise and happy
,Male,50,Independent,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,10,No,About Right,TRUE,Unwise and happy
,Female,25,Independent,Strongly disapprove,College degree,Single,Unlikely,Real and Caused by People,0,Strongly Disagree,Strongly Disagree,10,Yes,DK/REF,TRUE,Wise and Unhappy
,Female,29,Democrat,Strongly disapprove,High school,In a relationship,Unlikely,Real and Caused by People,,Strongly Agree,Somewhat Disagree,25,Yes,Too High,TRUE,Wise and Unhappy
,Male,20,Republican,Strongly Approve,Some college,Single,Unlikely,Real but not Caused by People,4,Strongly Disagree,Strongly Agree,20,No,Too High,TRUE,Wise and Unhappy
,Male,40,DK/REF,DK/REF,Some college,Married,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,,Yes,Too Low,FALSE,Wise and Unhappy
,Male,32,Independent,Strongly disapprove,College degree,Single,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,20,No,Too Low,TRUE,Unwise and happy
,Female,54,Republican,Somewhat Approve,Some college,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,10,Yes,DK/REF,TRUE,Wise and Unhappy
,Male,35,Republican,Strongly disapprove,High school,In a relationship,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,2,No,About Right,TRUE,Unwise and happy
,Female,19,Democrat,Strongly disapprove,Some college,Single,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,4,No,Too Low,FALSE,Unwise and happy
,Female,67,Democrat,Strongly disapprove,Some college,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,20,Yes,Too Low,DK/REF,DK/REF
,Male,35,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,10,No,Too Low,FALSE,Wise and Unhappy
,Female,42,Republican,Strongly disapprove,Some college,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,3,Yes,Too Low,TRUE,Unwise and happy
,Male,91,Democrat,DK/REF,High school,Widowed,DK/REF,Real but not Caused by People,,DK/REF,DK/REF,1,No,DK/REF,TRUE,DK/REF
,Female,21,Republican,Strongly Approve,Some college,In a relationship,Unlikely,Not Real At All,5,Somewhat Agree,Strongly Agree,4,Yes,Too Low,TRUE,Unwise and happy
,Female,67,Republican,Strongly Approve,High school,Widowed,Unlikely,Real and Caused by People,2,Strongly Disagree,Strongly Agree,15,Yes,Too Low,FALSE,Unwise and happy
,Male,32,DK/REF,Strongly disapprove,Some college,Single,Unlikely,Real and Caused by People,5,Strongly Agree,Strongly Agree,5,No,Too Low,TRUE,Unwise and happy
,Male,30,Independent,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,10,No,Too Low,FALSE,Unwise and happy
,Female,71,Democrat,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,40,No,Too Low,TRUE,Wise and Unhappy
,Male,73,Independent,Somewhat Approve,Graduate degree,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,3,No,Too Low,TRUE,Unwise and happy
,Female,38,Republican,Somewhat Approve,College degree,Divorced,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,20,No,About Right,FALSE,Unwise and happy
,Female,30,Democrat,Somewhat disapprove,Some college,Married,Unlikely,Not Real At All,3,Somewhat Agree,Strongly Agree,15,No,About Right,TRUE,Unwise and happy
,Male,20,DK/REF,DK/REF,Some college,In a relationship,Unlikely,Real but not Caused by People,5,Neither Agree nor Disagree,Neither Agree nor Disagree,5,No,About Right,FALSE,Unwise and happy
,Female,45,Independent,Strongly disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,10,DK/REF,DK/REF,FALSE,DK/REF
,Female,75,Republican,DK/REF,High school,Widowed,Likely,Real and Caused by People,0,Somewhat Disagree,Strongly Agree,100,Yes,Too High,TRUE,Unwise and happy
,Female,48,Democrat,Strongly disapprove,Other,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,15,No,Too Low,FALSE,Wise and Unhappy
,Male,21,DK/REF,DK/REF,Some college,In a relationship,Unlikely,Real and Caused by People,4,Somewhat Agree,Strongly Agree,0,No,Too Low,FALSE,Unwise and happy
,Male,46,Independent,Somewhat disapprove,High school,Other,Unlikely,Real and Caused by People,4,Strongly Agree,Somewhat Disagree,,Yes,DK/REF,TRUE,Unwise and happy
,Other,92,Independent,Somewhat disapprove,High school,Divorced,Likely,Real and Caused by People,3,Strongly Agree,Strongly Agree,0,Yes,Too Low,TRUE,Unwise and happy
,Male,71,Republican,Somewhat Approve,College degree,Widowed,Unlikely,Real and Caused by People,,Strongly Disagree,Somewhat Agree,2,Yes,Too High,FALSE,DK/REF
,Female,36,DK/REF,Somewhat Approve,High school,Divorced,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,200,Yes,Too Low,TRUE,Wise and Unhappy
,Female,30,Democrat,Strongly disapprove,High school,Single,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,15,Yes,Too Low,TRUE,Wise and Unhappy
,Male,36,Republican,Strongly Approve,College degree,Married,Unlikely,Real but not Caused by People,2,Somewhat Disagree,Strongly Agree,6,No,About Right,FALSE,Unwise and happy
,Male,48,DK/REF,Strongly disapprove,College degree,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Disagree,90,No,Too High,FALSE,Wise and Unhappy
,Male,43,Independent,Strongly Approve,High school,Married,Likely,Real and Caused by People,5,Somewhat Disagree,Somewhat Agree,0,Yes,Too Low,TRUE,Unwise and happy
,Male,27,Republican,Strongly Approve,High school,Married,Unlikely,Real and Caused by People,4,Strongly Disagree,Somewhat Disagree,4,Yes,Too High,TRUE,Unwise and happy
,Female,36,Democrat,Strongly disapprove,Graduate degree,Divorced,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,40,Yes,Too Low,FALSE,Wise and Unhappy
390000,Male,48,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,5,Yes,Too Low,FALSE,Wise and Unhappy
170000,Male,46,Democrat,Somewhat disapprove,Graduate degree,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,6,No,Too Low,FALSE,Unwise and happy
92000,Male,99,Republican,Somewhat Approve,College degree,Married,Unlikely,Real and Caused by People,3,Somewhat Agree,Strongly Agree,15,No,About Right,TRUE,Unwise and happy
223000,Female,84,Independent,DK/REF,Graduate degree,Married,DK/REF,DK/REF,0,Somewhat Agree,Strongly Agree,10,No,About Right,TRUE,Wise and Unhappy
102000,Male,37,Independent,Neither approve nor disapprove,High school,Married,Likely,Real and Caused by People,3,Somewhat Disagree,Strongly Disagree,0,Yes,DK/REF,TRUE,Unwise and happy
68000,Male,44,Republican,Strongly Approve,Some college,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,10,No,DK/REF,TRUE,Unwise and happy
160000,Male,65,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Somewhat Agree,0,No,About Right,DK/REF,DK/REF
70000,Female,38,Independent,Strongly disapprove,High school,Married,Unlikely,Real and Caused by People,0,Somewhat Disagree,Strongly Agree,30,No,Too Low,FALSE,Unwise and happy
56000,Male,68,Independent,Strongly disapprove,College degree,In a relationship,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,15,DK/REF,Too Low,FALSE,DK/REF
38000,Male,51,Republican,Strongly Approve,College degree,Married,Unlikely,Not Real At All,0,Strongly Disagree,Somewhat Agree,8,No,Too Low,TRUE,Unwise and happy
64000,Male,54,Democrat,Strongly Approve,Some college,Married,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Agree,0,No,Too High,FALSE,Unwise and happy
124000,Female,37,Republican,Strongly Approve,Graduate degree,In a relationship,Unlikely,Real but not Caused by People,1,Strongly Disagree,Strongly Agree,16,Yes,About Right,FALSE,Wise and Unhappy
7000,Female,66,Democrat,Strongly disapprove,College degree,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,50,Yes,Too Low,FALSE,Unwise and happy
43000,Female,65,Independent,Strongly Approve,Some college,Widowed,Likely,Real and Caused by People,0,Somewhat Disagree,Somewhat Agree,100,No,About Right,FALSE,Unwise and happy
12000,Other,72,Republican,DK/REF,Some college,Married,Unlikely,Real and Caused by People,0,Somewhat Disagree,Strongly Agree,52,Yes,Too Low,TRUE,Unwise and happy
34000,Male,65,Democrat,Somewhat disapprove,Some college,Divorced,Unlikely,Real and Caused by People,0,Somewhat Disagree,DK/REF,10,Yes,Too High,TRUE,Unwise and happy
87000,Male,22,DK/REF,Strongly disapprove,Some college,Divorced,Likely,Real and Caused by People,5,Neither Agree nor Disagree,Neither Agree nor Disagree,0,Yes,DK/REF,DK/REF,Unwise and happy
58000,Male,51,Republican,Strongly Approve,High school,Single,Likely,Not Real At All,0,Somewhat Agree,Somewhat Agree,0,No,Too High,TRUE,Unwise and happy
260000,Female,43,Independent,DK/REF,Some college,Single,Unlikely,Real and Caused by People,1,Strongly Disagree,Strongly Agree,18,Yes,DK/REF,TRUE,Unwise and happy
